year,GEOID,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,CFA01,CFA02,CFA03,CFA04,CFA05,CFS01,CFS02,CFS03,CFS04,CFS05,Borough,NTA
2009,36061028300,1092,180,657,255,254,646,192,0,0,0,3,0,9,19,0,5,93,32,24,0,16,2,732,84,51,22,0,723,258,22,58,1,30,360,732,239,215,254,204,249,843,0,0,0,0,0,0,0,0,0,0,Manhattan,Washington Heights North
2009,36061028500,704,255,348,101,346,224,134,0,0,0,2,0,15,151,4,2,3,18,9,0,7,3,461,0,22,7,0,437,171,14,60,2,20,349,355,102,97,143,107,282,422,0,0,0,0,0,0,0,0,0,0,Manhattan,Washington Heights North
2009,36061028700,352,87,194,71,118,162,72,0,0,0,1,53,12,55,1,7,1,13,11,0,21,32,54,2,48,41,0,231,84,4,23,2,8,171,181,66,64,84,51,185,167,0,0,0,0,0,0,0,0,0,0,Manhattan,Washington Heights North
2009,36061029100,555,124,306,125,282,190,83,0,0,0,3,0,4,124,1,3,58,43,10,13,8,2,201,0,39,46,0,389,94,14,40,3,15,122,433,157,90,96,88,266,289,0,0,0,0,0,0,0,0,0,0,Manhattan,Marble Hill-Inwood
2009,36061029300,801,212,470,119,336,351,114,0,0,0,23,9,4,232,2,2,56,79,86,108,11,0,78,0,79,32,0,540,136,16,86,4,19,282,519,191,135,146,117,389,412,0,0,0,0,0,0,0,0,0,0,Manhattan,Marble Hill-Inwood
2009,36061029500,276,58,153,65,78,129,69,0,0,0,7,0,10,49,5,2,3,45,10,0,3,2,76,3,42,19,0,190,52,5,21,2,6,144,132,51,42,65,60,142,134,0,0,0,0,0,0,0,0,0,0,Manhattan,Marble Hill-Inwood
2009,36061029700,6,3,3,0,3,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,0,0,0,0,1,5,1,0,2,0,3,3,0,0,0,0,0,0,0,0,0,0,Manhattan,park-cemetery-etc-Manhattan
2009,36061029900,1029,271,594,164,397,328,304,0,0,0,98,0,63,481,4,244,7,10,2,0,21,0,3,1,11,84,0,641,318,7,34,3,26,664,365,157,188,218,195,695,334,0,0,0,0,0,0,0,0,0,0,Manhattan,Marble Hill-Inwood
2009,36061030300,239,47,151,41,85,92,62,0,0,0,30,3,1,25,17,2,38,37,14,0,1,9,20,5,26,11,0,171,42,6,15,0,5,101,138,52,63,36,41,149,90,0,0,0,0,0,0,0,0,0,0,Manhattan,Marble Hill-Inwood
2009,36061030700,279,48,195,36,151,108,20,0,0,0,3,0,1,10,0,3,0,31,1,0,4,0,193,4,14,15,0,203,56,2,10,1,7,87,192,80,63,45,43,61,218,0,0,0,0,0,0,0,0,0,0,Manhattan,Marble Hill-Inwood
