dist_downtown,dist_midtown,GEOID
6.15799965644761,4.969922265335874,36081049302
6.169907391510757,5.096276928439596,36081049500
13.301497671814044,12.154872783573909,36081049600
6.362967902390221,5.028396763196206,36081049700
6.5931772911066,5.194834900820088,36081049900
12.52463851679659,11.548929172975976,36081050000
12.71374231774317,11.746118708544092,36081050201
13.007509137761975,12.002926416792404,36081050202
12.75494563186645,11.84135766684839,36081050400
7.104498852745569,5.825223130669681,36081050500
13.01927244203668,12.070048060881387,36081050600
6.567635899311243,5.4065085970720155,36081050700
13.20744271254557,12.235145905010524,36081050800
13.290809447368217,12.252986441077121,36081051000
5.573471601086531,4.457655758738044,36081051100
13.458710087187763,12.385623108680639,36081051200
6.005676396400238,4.655525267753049,36081051300
11.613706836364305,11.311676576205624,36081028800
