GEOID,d_permits,d_permits_2011
36047025400,59.03337794253338,59.03337794253338
36047025700,328.8970168358379,71.49935148605172
36047025901,32.27929705390854,0
36047026000,15.90271524647241,0
36047026100,441.5834365559554,194.81622200998032
36047026300,108.27261249703848,108.27261249703848
36047026500,16.227141107402616,0
36047026900,38.67201639576655,38.67201639576655
36047027000,386.5525814152237,77.31051628304473
36047027100,108.81360773834699,0
36047027200,39.1983682012536,0
36047027500,95.87899634746097,95.87899634746097
36047027600,17.336441916780508,0
36047027800,193.67707366136568,112.97829296912998
36047027900,271.91938221038606,191.94309332497838
36047028100,415.8359547898854,399.84226422104365
36047028200,45.33556657610171,0
36047028400,31.535908441238753,0
36047028700,104.25475367454152,17.375792279090255
36047028900,15.651835143640058,0
36047029100,267.42364715797834,235.96204160998087
36047029200,50.69739562388258,0
36047029300,141.73537227347362,0
36047029400,13.543926695476532,0
36047029600,96.76746723572941,96.76746723572941
36047030000,106.22781349412041,0
36047030200,147.16097048507416,134.89755627798465
36047030300,61.2808759010497,0
36047030400,16.731984931107075,0
36047030500,16.062747675255313,0
36047030800,79.51046693517843,79.51046693517843
36047030900,108.95573654871461,18.15928942478577
36047031100,17.757119788484285,0
36047031400,45.98927631136078,9.197855262272157
36047031701,463.3535424425858,463.3535424425858
36047033100,36.360059724622154,0
36047033600,75.25899239037939,45.155395434227636
36047034000,79.88019848103154,0
36047034200,45.051409157995494,45.051409157995494
36047034800,13.319377872770803,0
36047035900,56.26673128432709,56.26673128432709
36047036100,168.26620203282044,0
36047036200,90.82059615673604,90.82059615673604
36047036400,415.8151609164531,162.7102803586121
36047036502,128.97057923715127,128.97057923715127
36047036600,55.70234127491918,55.70234127491918
36047037401,57.42165101818892,0
36047037500,228.33392629771836,0
36047038100,43.252291747214834,0
36047038500,74.23595381894236,0
36047038600,175.16189412812193,0
36047038800,13.085227942876504,0
36047038900,79.4926783414369,0
36047039000,59.594884592188045,0
36047039100,31.172020408211395,0
36047039300,382.44900421668183,314.1545391779886
36047039400,121.34848679695511,53.932660798646715
36047039500,291.8843445393596,291.8843445393596
36047039600,317.2009806612713,206.18063742982633
36047039800,12.764870859641723,0
36047040000,53.9581476803382,0
36047040300,123.17187127858108,0
36047040500,37.554366157151044,37.554366157151044
36047040900,15.411808030776168,0
36047041100,19.191659782858643,0
36047041200,31.332681719887223,0
36047041300,111.79847416722419,47.91363178595322
36047041401,115.0060126148423,57.50300630742115
36047041402,16.81712441058381,0
36047041500,175.11483121915163,79.59765055415983
36047041600,79.66252266782163,31.86500906712865
36047041800,189.1413924978869,47.285348124471724
36047041900,338.53123994550475,338.53123994550475
36047042000,122.86175920591243,76.78859950369527
36047042100,67.5458912766246,0
36047042200,68.25633162235249,0
