GEOID,C1_C2,C4,MR,R1_R5,R6_R10,grad_rate
36047007700,0,0,0.05799466388393168,0,0.48172946702240776,0.490212059
36047007800,0,0.08132893747790271,0,0,0.9186710625220973,0.490212059
36047008000,0,0.020615049869042317,0,0,0.9694508107872238,0.490212059
36047008200,0,0,0,0,0.9467966116122952,0.490212059
36047008400,0,0,0,0,0.34188306600832813,0.490212059
36047008500,0,0,0,0.5051947962696978,0.2964055409327588,0.490212059
36047008600,0,0,0,0,0,0.490212059
36047008800,0,0,0,0,0.5999712003330496,0.490212059
36047009000,0,0,0,0,0.6001315300374575,0.490212059
36047009200,0,0,0,0,1,0.490212059
36047009400,0,0,0,0,1,0.5076516544669004
36047009600,0,0.017920605117847165,0,0,0.9820793948821528,0.490212059
36047009800,0,0.07117836737102537,0,0,0.9288216326289747,0.490212059
36047010000,0,0.08072775103329169,0,0,0.9014197846618343,0.5251506872560255
36047010100,0,0,0,0,0.2758382608626599,0.490212059
36047010200,0,0.017861696455479054,0,0,0.9821383035445209,0.6298379135
36047010400,0,0,0,0,1,0.6298379135
36047010600,0,0,0,0,1,0.5774535827727935
36047010800,0,0,0,0,1,0.5614600683582398
36047011000,0.008130930231576993,0,0,0,0.4158597965632607,0.490212059
36047011200,0,0,0,0,0.9761625961860154,0.490212059
36047011400,0,0,0,0,1,0.6039341167756069
36047011600,0,0,0,0.16297761543247863,0.8096908944742224,0.6298379135
36047011700,0,0,0,0,0.49321007269372746,0.490212059
36047011800,0,0.08358282400031204,0,0,0.20645645240174149,0.6298379135
36047011900,0,0,0,0,0.009874068840365529,0.5133327195380183
36047012000,0,0,0,0.1308140736114717,0.017583827837071443,0.6298379135
36047012100,0,0,0,0,0.4765743381081817,0.490212059
36047012200,0,0,0,0,0.7951458726002386,0.6298379135
36047012600,0,0,0,0.5631485160546087,0.1271409820947771,0.6298379135
36047012700,0.038609840323974104,0,0,0,0.5681159852458921,0.5920261376359173
36047012801,0,0,0,0.6899016731302623,0.09413093177589989,0.6298379135
36047012901,0,0,0,0,0.9145043332673954,0.649084471247373
36047012902,0.014708207309266301,0.043974300161466306,0,0,0.9224845077869267,0.7344094085999999
36047013000,0,0,0,0.7236464883004813,0.2763535116995188,0.6298379135
36047013100,0,0,0,0,1,0.7344094085999999
36047013200,0,0,0,0.8851854440281056,0.11481455597189444,0.6298379135
36047013300,0,0,0,0,1,0.5521293670865812
36047013400,0,0,0,0.8596691056184167,0.14033089438158336,0.6298379135
36047013500,0,0,0,0,0.8627160480177344,0.490212059
36047013600,0,0,0,0.7772824543962924,0.22271754560370757,0.6298379135
36047013700,0.009481683320982598,0.024374369997376428,0,0,0.9661439466816409,0.490212059
36047013800,0,0.05773353688212612,0,0.6397394353600858,0.302527027757788,0.6298379135
36047013900,0,0.1531710944075116,0,0,0.8468289055924885,0.490212059
36047014000,0,0.044604646296563855,0,0.9553953537034362,0,0.6298379135
36047014100,0,0.13960083049351238,0,0,0.8603991695064876,0.490212059
36047014200,0,0.0977773076698476,0,0.8096261209595049,0.09093283002403059,0.6298379135
36047014300,0,0,0,0,0.6766339520434486,0.490212059
36047014500,0,0,0,0,0.715796743028575,0.490212059
36047014700,0,0,0,0,0.957778906605622,0.490212059
36047014800,0,0,0,1,0,0.6298379135
36047014900,0,0,0,0.4523641870784225,0.5039482287457877,0.490212059
36047015000,0,0,0,1,0,0.6298379135
36047015100,0,0,0,0,1,0.490212059
36047015200,0,0.02682419533185131,0,0.9731758046681487,0,0.6298379135
36047015300,0,0,0,0,1,0.490212059
36047015400,0,0,0,0,0,0.6298379135
36047015500,0,0,0,0,1,0.490212059
36047015700,0,0,0,0,1,0.490212059
36047015900,0,0,0,0,1,0.7344094085999999
36047016000,0.008401543566349017,0.1849163644042372,0,0.5312492354917253,0.15776103048633672,0.6298379135
36047016100,0,0.09158111925959529,0,0,0.815675624550077,0.7344094085999999
36047016200,0,0,0,0.9567787218322866,0.043199787536836634,0.6298379135
36047016300,0,0,0,0,0.7262822275340686,0.7344094085999999
36047016400,0,0,0,0.996508953533978,1.935885286149012e-4,0.6298379135
36047016500,0,0,0,0,1,0.490212059
36047016600,0,0,0,1,0,0.6298379135
36047016700,0,0,0,0,1,0.490212059
36047016800,0,0,0,1,0,0.6298379135
36047016900,0,0,0,0.814604330984149,0.18539566901585106,0.490212059
36047017000,0,0,0,0.9706119657388953,0,0.6298379135
36047017100,0,0,0,0.8751520733526246,0.1248479266473754,0.490212059
36047017200,0,0,0,0.9464635780849806,0,0.6298379135
36047017400,0,0,0,1,0,0.6298379135
36047017500,0,0,0,1,0,0.490212059
36047017600,0,0,0,0.8658889115048635,0,0.6298379135
36047017700,0,0,0,0,0.04417435795225864,0.5515730667
36047017800,0,0,0,0.984599984455779,0,0.6298379135
36047017900,0,0,0,0,0.893598429584644,0.7344094085999999
36047018000,0,0,0,0.9665213162254919,0,0.6298379135
36047018100,0,0,0,0,1,0.7344094085999999
