GEOID,medianhomevalue,medianincome,medianrent,pop,year,p_asian_pop,p_black_pop,p_college_pop,p_hispanic_pop,p_housing_pop,p_hs_pop,p_lesshs_pop,p_poverty_pop,p_renter_pop,p_white_pop
36081043200,480100,79741,1278,1506,2011,0,0.9077025232403718,0.150730411686587,0.06839309428950863,0.9893758300132802,0.1102257636122178,0.05644090305444887,0.12284196547144755,0.10956175298804781,0.05909694555112882
36081043400,400000,82969,1948,1597,2011,0.07827175954915466,0.7802128991859737,0.15028177833437695,0.12711333750782716,1,0.17908578584846588,0.020037570444583593,0.021289918597370068,0.17157169693174704,0.018159048215403883
36081043701,450000,60625,1457,3220,2011,0.1437888198757764,0.1798136645962733,0.1409937888198758,0.575776397515528,0.8645962732919255,0.2201863354037267,0.04565217391304348,0.17484472049689442,0.5037267080745341,0.42453416149068324
36081043702,369400,43837,1416,6544,2011,0.2176039119804401,0.11934596577017115,0.08404645476772617,0.5967298288508558,0.9993887530562348,0.12820904645476772,0.1844437652811736,0.16977383863080683,0.562958435207824,0.37775061124694376
36081043900,518700,40217,1515,4390,2011,0.029612756264236904,0.04988610478359909,0.04943052391799545,0.8548974943052392,1,0.17289293849658313,0.18086560364464693,0.3009111617312073,0.7339407744874715,0.56013667425968106
36081044000,315600,51855,1282,3709,2011,0.013480722566729577,0.7810730655163117,0.07333513076300889,0.10811539498517121,1,0.18279859800485307,0.09193852790509571,0.24184416284712862,0.5281747101644648,0.007279590186033971
36081044301,631000,24243,925,3629,2011,0.16891705704050702,0.1212455221824194,0.08404519151281345,0.6646459079636263,0.9931110498759989,0.09176081565169468,0.10774317993937724,0.2570956186277211,0.8925323780655828,0.4552218241939928
36081044302,450000,52879,1240,4085,2011,0.4318237454100367,0.12582619339045287,0.11383108935128519,0.3505507955936353,0.9960832313341493,0.15177478580171358,0.19118727050183598,0.1537331701346389,0.6090575275397797,0.29498164014687883
36081044400,447200,22421,974,2520,2011,0.1869047619047619,0.28134920634920635,0.07023809523809524,0.30714285714285716,0.9797619047619047,0.18253968253968253,0.1884920634920635,0.26071428571428573,0.5511904761904762,0.05634920634920635
36081044601,113600,34545,1005,2819,2011,0.08939340191557289,0.3632493792124867,0.14118481731110322,0.49556580347641005,0.9893579283433842,0.12202908832919475,0.17949627527492018,0.3213905640297978,0.8879035118836467,0.09719758779709117
36081044602,180400,39157,1137,4292,2011,0.3548462255358807,0.30941286113699906,0.13956197576887233,0.24440820130475302,0.9219478098788444,0.17800559179869524,0.12418452935694314,0.28005591798695245,0.7884436160298229,0.07036346691519105
36081044800,563300,44435,1202,2385,2011,0.4037735849056604,0.10859538784067085,0.13962264150943396,0.3165618448637317,1,0.20670859538784067,0.08008385744234801,0.1509433962264151,0.560167714884696,0.06750524109014674
36081045000,585100,50240,1156,1579,2011,0.26979100696643443,0.025965801139962,0.2026599113362888,0.26599113362887905,1,0.08423052564914503,0.09689677010766308,0.10069664344521849,0.32678910702976566,0.45471817606079795
36081045200,692100,65000,1149,1191,2011,0.48866498740554154,0.08480268681780016,0.07976490344248531,0.09403862300587741,0.6540722082283795,0.16204869857262805,0.06465155331654072,0.2216624685138539,0.4290512174643157,0.30982367758186397
36081045400,534200,45568,1312,4278,2011,0.5532959326788219,0.1276297335203366,0.2660121552127162,0.13557737260402056,0.9985974754558204,0.12529219261337074,0.0876577840112202,0.1439925198690977,0.613838242169238,0.1496026180458158
36081045500,NA,49235,1195,12786,2011,0.015485687470671047,0.512670107930549,0.12591897387767872,0.31370248709526044,0.9985139996871578,0.15649929610511498,0.09150633505396527,0.12466760519318004,0.9945252620053183,0.3159705928359143
36081045600,618900,53333,1196,1254,2011,0.6547049441786283,0.018341307814992026,0.2942583732057416,0.09011164274322168,0.9984051036682615,0.10685805422647528,0.06060606060606061,0.12200956937799043,0.25598086124401914,0.24242424242424243
36081045700,628500,46506,1216,3269,2011,0.5524625267665952,0.027837259100642397,0.23218109513612725,0.2539002753135515,1,0.2116855307433466,0.09544203120220252,0.1508106454573264,0.44447843377179563,0.2404405016824717
36081045800,797800,77857,1282,2153,2011,0.5884811890385508,0.19786344635392475,0.24709707385044125,0.12076172782164422,1,0.07570831398049234,0.07524384579656293,0.20947515095215977,0.6590803529958198,0.09242916860195077
36081045900,655700,57121,1373,4119,2011,0.5185724690458849,0.0029133284777858705,0.17844136926438456,0.42388929351784416,0.9980577810148095,0.12624423403738771,0.22529740228210732,0.20126244234037388,0.6358339402767662,0.3272638990046128
36081046000,330000,28308,1091,5644,2011,0.3462083628632176,0.20499645641389086,0.16070163004961022,0.40219702338766833,0.9875974486180015,0.18462083628632175,0.13766832034018428,0.34957476966690293,0.9089298369950389,0.05758327427356485
36081046100,795800,48661,1421,2995,2011,0.35325542570951585,0.009015025041736227,0.07679465776293823,0.5732888146911519,0.9996661101836394,0.1348914858096828,0.2020033388981636,0.13255425709515858,0.6230383973288814,0.47646076794657766
36081046200,371200,40163,1209,7091,2011,0.42250740375123397,0.1410238330277817,0.09194753913411366,0.31702157664645325,0.9331547031448315,0.15808771682414327,0.14469045268650402,0.264842758426174,0.6161331264983783,0.11916513890847553
36081046300,554200,45020,1235,3736,2011,0.403372591006424,0.01846895074946467,0.12419700214132762,0.5286402569593148,1,0.1421306209850107,0.23875802997858672,0.27890792291220556,0.8230728051391863,0.382762312633833
36081046400,540900,71146,1273,1546,2011,0.19663648124191463,0.1759379042690815,0.39391979301423025,0.3809831824062096,0.925614489003881,0.0724450194049159,0.04139715394566624,0,0.27490297542043984,0.3344113842173351
36081046500,790100,48125,1289,3560,2011,0.14719101123595504,0,0.05,0.8258426966292135,1,0.17668539325842697,0.31179775280898875,0.18202247191011237,0.7769662921348315,0.7845505617977528
36081046600,171700,64427,1386,2957,2011,0.26513358133243153,0.274940818397024,0.37470409198512006,0.14507947243828204,0.977341900574907,0.06526885356780521,0.061210686506594524,0.14237402773080826,0.62529590801488,0.3016570848833277
36081046700,388700,43464,1205,6506,2011,0.34598831847525363,0.015985244389794036,0.08315401168152475,0.6075929910851522,0.9975407316323394,0.15816169689517368,0.26467875806947433,0.27682139563479863,0.8793421457116508,0.5473409160774669
36081046800,444600,47813,1178,3637,2011,0.46934286499862526,0.14270002749518834,0.0970580148474017,0.2543304921638713,1,0.1564476216662084,0.19604069287874623,0.1168545504536706,0.5004124278251306,0.07891119054165521
36081046900,329200,38750,1224,8549,2011,0.39291145163176977,0.012165165516434671,0.12422505556205404,0.5579599953210902,0.9995321090185987,0.16306000701836473,0.1465668499239677,0.23429640893671774,0.8944905836939993,0.48648964791203647
36081047000,427000,56684,1280,3243,2011,0.4622263336416898,0.05180388529139685,0.08233117483811286,0.1806968855997533,0.996299722479186,0.17082947887758249,0.18131359851988899,0.11193339500462535,0.31267345050878814,0.09343200740055504
36081047100,615400,32565,1263,4347,2011,0.6448125143777318,6.901311249137336e-4,0.11088106740280654,0.29859673337934206,0.9990798251667817,0.23947550034506557,0.132965263400046,0.27053140096618356,0.7398205659075224,0.25143777317690363
36081047200,714100,64345,1203,3146,2011,0.32453909726637,0.33884297520661155,0.2263191354100445,0.13636363636363635,0.8696757787666879,0.09949141767323585,0.05880483153210426,0.04513668150031786,0.45740623013350284,0.2294977749523204
36081047300,281000,55488,1325,3524,2011,0.583427922814983,0.013053348467650397,0.1782065834279228,0.27014755959137343,0.9980136208853575,0.1515323496027242,0.14472190692395007,0.14216799091940976,0.6824631101021567,0.32917139614074914
36081047500,479000,46250,1248,4650,2011,0.656989247311828,0.006881720430107527,0.1935483870967742,0.2167741935483871,0.9948387096774194,0.14172043010752688,0.10602150537634408,0.17225806451612904,0.49032258064516127,0.2511827956989247
36081047600,681100,131250,NA,1360,2011,0.3463235294117647,0.022794117647058822,0.4235294117647059,0.11102941176470588,0.9926470588235294,0.054411764705882354,0.0125,0.09632352941176471,0.05514705882352941,0.5875
36081047800,180300,47259,1041,5000,2011,0.2036,0.3518,0.1826,0.2544,0.9978,0.1374,0.0948,0.0732,0.2676,0.3348
36081047900,599600,58638,1324,6209,2011,0.6485746497020454,0.004187469801900467,0.17426316637139636,0.1927846674182638,0.9996778869383154,0.11531647608310518,0.13271058141407635,0.11692704139152843,0.49782573683362863,0.3114833306490578
36081048000,471000,61181,1049,2544,2011,0.3187893081761006,0.2783018867924528,0.16352201257861634,0.2468553459119497,0.9964622641509434,0.14229559748427673,0.1694182389937107,0.10927672955974843,0.26808176100628933,0.16312893081761007
36081048100,575200,40394,1298,6635,2011,0.46737000753579505,0.012207987942727958,0.1577995478522984,0.4447626224566692,1,0.1523737754333082,0.1415222305953278,0.20497362471740768,0.7897513187641296,0.3968349660889224
36081048200,584800,56607,1203,1733,2011,0.3294864396999423,0.2890940565493364,0.13329486439699942,0.21177149451817656,0.9463358338141951,0.1933064050778996,0.10328909405654933,0.23254472013848818,0.5464512406231967,0.1413733410271206
